brand,material,waterproof_level,demand,season,competitor_price,price
Decathlon,polyester,0.90,80,rainy,40.0,47.0
Decathlon,polyester,0.85,75,rainy,42.0,49.0
Decathlon,polyester,0.80,70,summer,38.0,44.0
Decathlon,polyester,0.88,85,winter,45.0,52.0
Decathlon,nylon,0.75,65,rainy,36.0,42.0
Decathlon,fabric,0.55,50,summer,28.0,32.0
Nike,fabric,0.70,60,summer,35.0,38.0
Nike,fabric,0.65,55,summer,32.0,36.0
Nike,polyester,0.82,72,rainy,44.0,50.0
Nike,nylon,0.73,68,spring,38.0,43.0
Nike,fabric,0.60,48,winter,30.0,34.0
Adidas,polyester,0.87,78,rainy,43.0,48.0
Adidas,fabric,0.68,62,summer,34.0,37.0
Adidas,nylon,0.76,70,rainy,39.0,45.0
Adidas,polyester,0.91,82,winter,46.0,53.0
Adidas,fabric,0.52,45,spring,26.0,29.0
Generic,plastic,0.40,30,summer,20.0,22.0
Generic,plastic,0.38,25,summer,18.0,20.0
Generic,fabric,0.45,35,summer,22.0,25.0
Generic,plastic,0.42,28,rainy,19.0,21.0
Generic,nylon,0.55,40,rainy,25.0,28.0
Decathlon,polyester,0.92,88,winter,48.0,55.0
Nike,polyester,0.84,74,spring,41.0,46.0
Adidas,nylon,0.78,66,summer,37.0,41.0
Generic,fabric,0.48,38,spring,23.0,26.0
Decathlon,nylon,0.79,72,summer,40.0,46.0
Nike,nylon,0.71,64,rainy,36.0,40.0
Adidas,plastic,0.45,32,summer,21.0,24.0
Decathlon,fabric,0.58,52,winter,30.0,35.0
Generic,polyester,0.62,44,rainy,27.0,30.0
